Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.8612795862703057,0.24494949494949494,0.8060377619475759,1.0,0.8827546856629088,0.0,,1,55.91542339324951
SISA,0.8129576258539062,0.3328282828282828,0.8006086174700878,0.3,0.530520782903382,0.17533348285908104,,1,45.472362995147705
BFRT,0.8629265406308987,0.21313131313131314,0.781174355072965,0.2,0.63261809253752,0.11443875046197806,0.0,1,0.01688981056213379
First_Order,0.8629265406308987,0.21313131313131314,0.781174355072965,0.2,0.63261809253752,0.11443875046197806,0.0,1,0.006012678146362305
Fine_Tuning,0.8629265406308987,0.21313131313131314,0.781174355072965,0.2,0.63261809253752,0.11443875046197806,0.0,1,0.029830217361450195
BFRT,0.8415220303862742,0.26616161616161615,0.7837333148903797,0.5,0.5259734421467599,0.16942608118620095,0.05,1,0.012516260147094727
First_Order,0.5545247841845585,0.04292929292929293,0.20793277543398575,0.8,0.5,0.9984352398621166,2.6,1,0.0037965774536132812
Fine_Tuning,0.5267983307722709,0.42272727272727273,0.4994812919289024,1.0,0.46866138737118745,0.9993201808519963,0.04,1,0.011191844940185547
