Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.8427481436984742,0.24292929292929294,0.7806902275399406,0.7,0.8101286396016322,0.0,,1,42.77045512199402
SISA,0.8274802464469477,0.32272727272727275,0.8190400442630887,0.3,0.49321875648385094,0.12932474175589417,,1,72.85445833206177
BFRT,0.8435413137237697,0.2868686868686869,0.8131267722525762,0.1,0.5609170758697005,0.036936371527042995,0.0,1,0.008853912353515625
First_Order,0.8435413137237697,0.2868686868686869,0.8131267722525762,0.1,0.5609170758697005,0.036936371527042995,0.0,1,0.0027620792388916016
Fine_Tuning,0.8435413137237697,0.2868686868686869,0.8131267722525762,0.1,0.5609170758697005,0.036936371527042995,0.0,1,0.010263919830322266
BFRT,0.8435108284568155,0.2828282828282828,0.808665882841137,0.1,0.5594716093782419,0.03703523548105229,0.004805339265850945,1,0.00839090347290039
First_Order,0.8434929047697256,0.2813131313131313,0.8082854969223321,0.1,0.5589425271457223,0.03903884796584433,0.04449388209121246,1,0.002278566360473633
Fine_Tuning,0.8433644860513967,0.22373737373737373,0.7570025589598174,0.1,0.5576319247527493,0.03786958164833052,0.0012235817575083428,1,0.0101165771484375
BFRT,0.8434741280201226,0.2808080808080808,0.8070060170136247,0.1,0.5580641814786638,0.03723905776444957,0.00961067853170189,1,0.00836801528930664
First_Order,0.843445808219548,0.2505050505050505,0.781174355072965,0.1,0.5569005463725016,0.043689688935441506,0.08898776418242492,1,0.0022666454315185547
Fine_Tuning,0.8431518953736639,0.21868686868686868,0.752714572238744,0.1,0.5542879867210734,0.040485160730187965,0.0024471635150166856,1,0.010148048400878906
BFRT,0.8434418991308885,0.2818181818181818,0.8078359499273808,0.1,0.5566567535790856,0.037548597104876826,0.014416017797552836,1,0.008411407470703125
First_Order,0.8433746290584215,0.25,0.7800677778546234,0.1,0.5545611729718514,0.05035378611512906,0.13348164627363737,1,0.0022819042205810547
Fine_Tuning,0.8429228152787808,0.23434343434343435,0.765163565945086,0.1,0.5506881527076561,0.04462127215575318,0.003670745272525028,1,0.010169029235839844
BFRT,0.8434062861145422,0.2823232323232323,0.8079051110035272,0.1,0.5552493256795077,0.037963677570966484,0.01922135706340378,1,0.00835108757019043
First_Order,0.8432892384382844,0.24393939393939393,0.7746040528390622,0.1,0.5521509094681513,0.058486434686067686,0.17797552836484984,1,0.0022971630096435547
Fine_Tuning,0.842666315317403,0.2297979797979798,0.7608409986859396,0.1,0.5475620720658413,0.0500212794013218,0.004894327030033371,1,0.010105133056640625
BFRT,0.8433704949862423,0.2813131313131313,0.8064873089425272,0.1,0.5538280655647002,0.03848331607303703,0.024026696329254724,1,0.008373022079467773
First_Order,0.8432041102989206,0.23939393939393938,0.7710768379555986,0.1,0.5499031744933951,0.06767649219878594,0.2224694104560623,1,0.0022699832916259766
Fine_Tuning,0.8423747929214185,0.2297979797979798,0.7603568711529152,0.1,0.5443806625631096,0.056428716072512965,0.006117908787541714,1,0.010094404220581055
BFRT,0.8433274293907971,0.2797979797979798,0.8051732484957466,0.1,0.5523047928625768,0.03910575392787179,0.028832035595105672,1,0.008346080780029297
First_Order,0.8430873907236295,0.21818181818181817,0.7521958641676465,0.1,0.5476174009267584,0.07764569861379751,0.26696329254727474,1,0.0022690296173095703
Fine_Tuning,0.842050132327807,0.23939393939393938,0.768344975447818,0.1,0.5416418839477142,0.06363188223661147,0.007341490545050056,1,0.01009511947631836
BFRT,0.8432839794485054,0.22323232323232323,0.7563801092745003,0.1,0.5507503976761878,0.03982853514201172,0.033637374860956616,1,0.008357524871826172
First_Order,0.8429672870212257,0.22171717171717173,0.7554118542084515,0.1,0.5455045300504875,0.08820939977899987,0.3114571746384872,1,0.002512693405151367
Fine_Tuning,0.841671991276639,0.2474747474747475,0.7743274085344768,0.1,0.5386506674043848,0.07147013921253614,0.0085650723025584,1,0.010123491287231445
BFRT,0.843247354006319,0.2404040404040404,0.7708347741890864,0.1,0.5491666090324365,0.04064861476138929,0.03844271412680756,1,0.008374214172363281
First_Order,0.8428274410149457,0.22121212121212122,0.7549623072135002,0.1,0.5432775433985753,0.09924224830265295,0.3559510567296997,1,0.002273082733154297
Fine_Tuning,0.8412622212922903,0.25252525252525254,0.7778892039560136,0.2,0.5356179542153676,0.07982482632213299,0.009788654060066742,1,0.010086297988891602
BFRT,0.8431990481697216,0.2398989898989899,0.7701777439656962,0.1,0.5475793623348779,0.04156254691992476,0.043248053392658505,1,0.008372783660888672
First_Order,0.8426665871724897,0.24191919191919192,0.7716647071028425,0.1,0.5409883117781312,0.11065552903606067,0.40044493882091214,1,0.002332925796508789
Fine_Tuning,0.8408334495748186,0.255050505050505,0.7808977107683795,0.2,0.5331316135279065,0.08860768067191671,0.011012235817575084,1,0.010126352310180664
BFRT,0.8431460083048916,0.24292929292929294,0.7721142540977938,0.1,0.5458779998616778,0.04256653161896931,0.04805339265850945,1,0.008569478988647461
First_Order,0.8424904344506765,0.2585858585858586,0.7863614357839408,0.1,0.5387682412338336,0.12238317925813276,0.4449388209121246,1,0.0022726058959960938
Fine_Tuning,0.8403625590675483,0.2601010101010101,0.7849782142610139,0.2,0.5304585379348503,0.09775140203356666,0.012235817575083428,1,0.010110616683959961
