Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.8448429364890938,0.27835051546391754,0.8457430576747025,0.92,0.8932956972841014,0.0,,1,8.152446031570435
SISA,0.7809928323262586,0.43041237113402064,0.9025022886786696,0.44,0.6350579798596278,0.16748297095353998,,1,14.081072330474854
BFRT,0.852649297277053,0.28350515463917525,0.8594751296917913,0.14,0.512844064693317,0.13570222326286593,0.0,1,0.020337820053100586
First_Order,0.852649297277053,0.28350515463917525,0.8594751296917913,0.14,0.512844064693317,0.13570222326286593,0.0,1,0.006113767623901367
Fine_Tuning,0.852649297277053,0.28350515463917525,0.8594751296917913,0.14,0.512844064693317,0.13570222326286593,0.0,1,0.025992870330810547
BFRT,0.8526635088998197,0.28350515463917525,0.8602380225816295,0.14,0.5121574610924626,0.1359098311754391,4.449388209121246e-05,1,0.01972484588623047
First_Order,0.8523621388993851,0.28865979381443296,0.8619163869392737,0.14,0.5110070186145865,0.14274381854574186,0.00389321468298109,1,0.005453586578369141
Fine_Tuning,0.8528206727280631,0.28865979381443296,0.8632895941409826,0.14,0.5099877937137626,0.13844538692418473,1.6017797552836483e-05,1,0.024663686752319336
BFRT,0.852666852811059,0.28350515463917525,0.8599328654256942,0.14,0.5114571254195912,0.1361212978178692,8.898776418242492e-05,1,0.019688129425048828
First_Order,0.8515660790299983,0.28865979381443296,0.8585596582239854,0.18,0.5095636252670125,0.15209208541098623,0.00778642936596218,1,0.005337953567504883
Fine_Tuning,0.8528919398363491,0.2912371134020619,0.8651205370765944,0.14,0.5070445529447666,0.14161445924237165,3.2035595105672966e-05,1,0.026169538497924805
BFRT,0.8526624639275575,0.28350515463917525,0.8599328654256942,0.14,0.5106087885260909,0.1363364278423717,0.00013348164627363738,1,0.01984691619873047
First_Order,0.8505589347636355,0.28350515463917525,0.8478791577662497,0.18,0.5078669514800123,0.16355243664215344,0.011679644048943269,1,0.0058171749114990234
Fine_Tuning,0.8528311224506857,0.2912371134020619,0.8632895941409826,0.14,0.5041806530363138,0.1452125059937593,4.805339265850945e-05,1,0.025845766067504883
BFRT,0.8526459533658138,0.28350515463917525,0.8597802868477266,0.14,0.5098992981385414,0.13655300974229312,0.00017797552836484984,1,0.01972222328186035
First_Order,0.8491582539433074,0.28865979381443296,0.8494049435459261,0.14,0.5058010375343301,0.17682276456265825,0.01557285873192436,1,0.0053021907806396484
Fine_Tuning,0.8527583923812327,0.28865979381443296,0.8599328654256942,0.16,0.5014586512053707,0.1492294322821752,6.407119021134593e-05,1,0.02561163902282715
BFRT,0.8526355036431914,0.28350515463917525,0.8594751296917913,0.14,0.5091638693927373,0.13677452403305693,0.0002224694104560623,1,0.019461870193481445
First_Order,0.8472593303483351,0.29381443298969073,0.8463533719865731,0.18,0.504018919743668,0.19160706006478964,0.01946607341490545,1,0.005288362503051758
Fine_Tuning,0.852568207429502,0.2912371134020619,0.8602380225816295,0.18,0.5010833079035704,0.15366047355327822,8.008898776418241e-05,1,0.02599191665649414
BFRT,0.8526342496764766,0.28350515463917525,0.8593225511138236,0.14,0.5083429966432713,0.1369996031776283,0.00026696329254727476,1,0.019746780395507812
First_Order,0.8451539202343413,0.29381443298969073,0.8385718645102228,0.18,0.49797680805614897,0.20752750258068794,0.023359288097886538,1,0.005358695983886719
Fine_Tuning,0.8523855462780595,0.2963917525773196,0.8628318584070797,0.18,0.5036191638693928,0.15848580083244262,9.61067853170189e-05,1,0.025968313217163086
BFRT,0.8526338316875716,0.28350515463917525,0.8593225511138236,0.14,0.5076045163259078,0.13722850378534202,0.0003114571746384872,1,0.019628524780273438
First_Order,0.8427040872627077,0.3118556701030928,0.8429966432712848,0.18,0.4996338114128776,0.22430514697194612,0.02725250278086763,1,0.00560307502746582
Fine_Tuning,0.851989710785117,0.28865979381443296,0.8533719865730851,0.22,0.5064144034177602,0.16370519249913662,0.00011212458286985538,1,0.026220083236694336
