Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.8430396004742652,0.24797979797979797,0.7835604122000138,0.84,0.860920533923508,0.0,,1,52.80558943748474
SISA,0.7996802984181409,0.26616161616161615,0.717615326094474,0.32,0.5305238951518085,0.16172909515464348,,1,105.42566442489624
BFRT,0.8445534770828037,0.2792929292929293,0.8110173594301128,0.08,0.591350715817138,0.043228641547686165,0.0,1,0.07583928108215332
First_Order,0.8445534770828037,0.2792929292929293,0.8110173594301128,0.08,0.591350715817138,0.043228641547686165,0.0,1,0.003454923629760742
Fine_Tuning,0.8445534770828037,0.2792929292929293,0.8110173594301128,0.08,0.591350715817138,0.043228641547686165,0.0,1,0.013046979904174805
BFRT,0.844542912231679,0.2787878787878788,0.8108444567397469,0.08,0.5900570578878208,0.044026901864134854,0.005045606229143493,1,0.025782108306884766
First_Order,0.844466202225687,0.2792929292929293,0.8106369735113078,0.08,0.5918593955321945,0.04755788833561256,0.04493882091212458,1,0.0028090476989746094
Fine_Tuning,0.8444404603612785,0.2787878787878788,0.8100836849021371,0.08,0.589128570440556,0.04699656494465495,0.0012235817575083428,1,0.01291036605834961
BFRT,0.8445225043515563,0.2797979797979798,0.8113631648108445,0.08,0.5887429974410401,0.044978926237437246,0.010091212458286985,1,0.02584362030029297
First_Order,0.8443666282694793,0.27474747474747474,0.8062452451760149,0.08,0.5923020264195311,0.05375863735848219,0.08987764182424916,1,0.0028100013732910156
Fine_Tuning,0.8443142821038359,0.2792929292929293,0.8106369735113078,0.1,0.5869382391590013,0.052598508647106704,0.0024471635150166856,1,0.012825965881347656
BFRT,0.8444989654507806,0.2797979797979798,0.8113631648108445,0.08,0.5874597136731448,0.04607949081028783,0.015136818687430477,1,0.02585291862487793
First_Order,0.8442483994297416,0.2767676767676768,0.8083546579984785,0.06,0.5928103603292068,0.061395022579313396,0.13481646273637374,1,0.0027894973754882812
Fine_Tuning,0.8441711550878899,0.2787878787878788,0.8093229130645273,0.1,0.5847624317034372,0.05967024392618392,0.003670745272525028,1,0.013084173202514648
BFRT,0.8444767670768116,0.2787878787878788,0.8100145238259907,0.08,0.586188533093575,0.047322292474873004,0.02018242491657397,1,0.025790691375732422
First_Order,0.8441375013030294,0.251010101010101,0.7864997579362335,0.12,0.593235355142126,0.07010812565332747,0.17975528364849833,1,0.003034353256225586
Fine_Tuning,0.8440134885119664,0.2782828282828283,0.8093574936026005,0.12,0.5826104848191438,0.06788288208547216,0.004894327030033371,1,0.012885570526123047
BFRT,0.844446919263164,0.27626262626262627,0.8075593056227955,0.1,0.5848627152638495,0.04870044624842633,0.025228031145717464,1,0.025820016860961914
First_Order,0.8440175475896391,0.251010101010101,0.7863614357839408,0.1,0.5938024759665259,0.07963637119023782,0.22469410456062291,1,0.0028455257415771484
Fine_Tuning,0.843834214143814,0.27575757575757576,0.8062106646379418,0.12,0.5804052839062176,0.07698148670764791,0.006117908787541714,1,0.012811660766601562
BFRT,0.8444259489242413,0.2767676767676768,0.8074209834705028,0.1,0.5835877308250916,0.05020665355954258,0.030273637374860954,1,0.025770902633666992
First_Order,0.8438765579171326,0.2505050505050505,0.7856698250224774,0.1,0.5942585932637112,0.08979627112587898,0.2696329254727475,1,0.002796649932861328
Fine_Tuning,0.8436367536077983,0.24646464646464647,0.7806556470018674,0.12,0.5783097032989833,0.08677950370316988,0.007341490545050056,1,0.012844562530517578
BFRT,0.8443927826036743,0.28888888888888886,0.8177951448924545,0.08,0.582245314337091,0.05183352663426505,0.03531924360400445,1,0.025990962982177734
First_Order,0.8437288281133408,0.24848484848484848,0.7838024759665261,0.1,0.59481568573207,0.10045845396176763,0.31457174638487206,1,0.0027625560760498047
Fine_Tuning,0.8434261971560584,0.24545454545454545,0.7792378449408672,0.16,0.576158793830832,0.0971411371116681,0.0085650723025584,1,0.012792348861694336
BFRT,0.8443575539341743,0.2898989898989899,0.8192821080296009,0.08,0.5809039352652328,0.0535736987935122,0.04036484983314794,1,0.025806665420532227
First_Order,0.8435763642813163,0.24848484848484848,0.7845632478041358,0.08,0.5952527837333149,0.11152920452386049,0.35951056729699665,1,0.0028769969940185547
Fine_Tuning,0.8432018979609743,0.2828282828282828,0.8112594231966249,0.12,0.5740645964451206,0.10796566594055071,0.009788654060066742,1,0.012844085693359375
BFRT,0.8443229345950409,0.2914141414141414,0.8202503630956498,0.08,0.5795590981395671,0.055419981415298726,0.04541045606229143,1,0.025777578353881836
First_Order,0.8434007927669298,0.24545454545454545,0.7820734490628675,0.08,0.595746248011619,0.1229379024901061,0.40444938820912124,1,0.0027718544006347656
Fine_Tuning,0.8429531411824084,0.24848484848484848,0.7814164188394771,0.16,0.5719202572792033,0.11917544555988038,0.011012235817575084,1,0.012763023376464844
BFRT,0.8442773285606829,0.2914141414141414,0.8207690711667474,0.08,0.5782357009475068,0.05736547451374753,0.05045606229143493,1,0.026010513305664062
First_Order,0.8432276117024428,0.24646464646464647,0.7821771906770869,0.08,0.5962881250432256,0.1346291363315192,0.44938820912124583,1,0.0031359195709228516
Fine_Tuning,0.8426860013753993,0.2878787878787879,0.8153053461511861,0.12,0.5698713603983678,0.13070835180896015,0.012235817575083428,1,0.012865304946899414
BFRT,0.844229744546212,0.2404040404040404,0.7767480461995989,0.12,0.5768362265716855,0.05940366815612645,0.05550166852057842,1,0.02583146095275879
First_Order,0.8430380537125656,0.23484848484848486,0.7715955460266962,0.1,0.596803375060516,0.14655762569675782,0.4943270300333704,1,0.002855539321899414
Fine_Tuning,0.8424060187591259,0.2878787878787879,0.8153053461511861,0.12,0.5678594646932706,0.14251253831088462,0.01345939933259177,1,0.012836456298828125
BFRT,0.8441769390392153,0.2924242424242424,0.8213223597759182,0.08,0.5754699495124144,0.061528404731997784,0.06054727474972191,1,0.025844097137451172
First_Order,0.8428373777870771,0.23737373737373738,0.773566636696867,0.1,0.5972688291029808,0.15868495539429023,0.539265850945495,1,0.0027768611907958984
Fine_Tuning,0.8421084968026091,0.2878787878787879,0.8141987689328446,0.12,0.5658178297254306,0.1545431681246165,0.014682981090100113,1,0.012772321701049805
BFRT,0.8441203369353194,0.2833333333333333,0.8131267722525762,0.12,0.5741126633930423,0.06373394626785,0.0655928809788654,1,0.026041746139526367
First_Order,0.8426263901169239,0.23787878787878788,0.7733245729303548,0.1,0.5976727297876755,0.17097766252166005,0.5842046718576196,1,0.002781391143798828
Fine_Tuning,0.8417790459348853,0.3005050505050505,0.823708416902967,0.14,0.5638398229476451,0.16676022069848306,0.015906562847608455,1,0.012767791748046875
BFRT,0.8440677751604695,0.2909090909090909,0.8194550107199668,0.1,0.5727678262673768,0.06601510446984618,0.0706384872080089,1,0.025838136672973633
First_Order,0.8424068249500725,0.23939393939393938,0.773151670239989,0.08,0.5981689605090255,0.18340593595218552,0.6291434927697441,1,0.002823352813720703
Fine_Tuning,0.8414285872309853,0.3,0.8244346082025036,0.14,0.5620298775848953,0.1791272210493744,0.0171301446051168,1,0.012836217880249023
BFRT,0.8440094763058607,0.2924242424242424,0.8206307490144547,0.1,0.5713994743758213,0.06836704948489263,0.07568409343715239,1,0.02582573890686035
First_Order,0.8421786729122093,0.23939393939393938,0.771560965488623,0.08,0.5986824814994121,0.1959428088390133,0.6740823136818688,1,0.0027785301208496094
Fine_Tuning,0.841052414785617,0.29848484848484846,0.822290614841967,0.14,0.5601964174562557,0.19161021559323446,0.018353726362625142,1,0.01277017593383789
BFRT,0.8439455903605062,0.2919191919191919,0.8202157825575765,0.12,0.5700089909398991,0.07078542796653697,0.08072969966629588,1,0.025992393493652344
First_Order,0.8419373874613684,0.25707070707070706,0.7866380800885262,0.06,0.5991555432602531,0.2085634869598449,0.7190211345939933,1,0.0027856826782226562
Fine_Tuning,0.8406698303099298,0.3,0.8229822256034304,0.14,0.5583712566567536,0.20417743576047495,0.019577308120133485,1,0.012805938720703125
BFRT,0.8438822387510114,0.29494949494949496,0.8228784839892108,0.12,0.5686098623694584,0.07326599969467475,0.08577530589543937,1,0.025806665420532227
First_Order,0.8416901680701888,0.25656565656565655,0.7861539525555018,0.06,0.5996628397537865,0.22124524907434695,0.7639599555061178,1,0.002915620803833008
Fine_Tuning,0.8402544732348356,0.2909090909090909,0.8130576111764299,0.14,0.5566111072688291,0.21679872427898786,0.020800889877641827,1,0.012891054153442383
BFRT,0.8438135437829178,0.29343434343434344,0.8216335846185767,0.12,0.5672224911819628,0.07580500338274018,0.09082091212458286,1,0.025816679000854492
First_Order,0.8414264123902924,0.25656565656565655,0.7857044055605505,0.06,0.6001687530257971,0.23396705680576618,0.8088987764182425,1,0.002773761749267578
Fine_Tuning,0.8398106276215267,0.30808080808080807,0.8268206653295526,0.14,0.5549235770108583,0.22944564260738862,0.02202447163515017,1,0.012809514999389648
BFRT,0.8437400022948319,0.29393939393939394,0.8217373262327962,0.12,0.5657853240196418,0.07839925777651688,0.09586651835372637,1,0.02604079246520996
First_Order,0.8411523543400445,0.26212121212121214,0.7890932982917214,0.06,0.6006030845839961,0.24670942736635268,0.853837597330367,1,0.0027801990509033203
Fine_Tuning,0.8393575576838996,0.30808080808080807,0.8264748599488208,0.14,0.5532305138667958,0.24209111513048986,0.023248053392658515,1,0.012784242630004883
BFRT,0.84366225174006,0.28888888888888886,0.8165502455218203,0.12,0.5643792793415865,0.08104553577304777,0.10091212458286986,1,0.025789737701416016
First_Order,0.8408789899889832,0.25757575757575757,0.7847361504945017,0.06,0.6010412200013833,0.25945419980857787,0.8987764182424917,1,0.002838134765625
Fine_Tuning,0.8388760554539381,0.30656565656565654,0.8250570578878207,0.14,0.5515706480392835,0.2547095316571906,0.024471635150166857,1,0.012784004211425781
BFRT,0.8435845386825416,0.28939393939393937,0.8169997925167716,0.12,0.5630195725845495,0.08374093514411257,0.10595773081201335,1,0.02581191062927246
First_Order,0.8405950607867974,0.2580808080808081,0.7841828618853309,0.06,0.6014966456878068,0.2721845990108135,0.9437152391546162,1,0.0028121471405029297
Fine_Tuning,0.8383549842474038,0.28888888888888886,0.8087696244553565,0.2,0.5499965419461926,0.26727684526653733,0.0256952169076752,1,0.012811899185180664
BFRT,0.8434951452306119,0.28535353535353536,0.8139912857044056,0.12,0.5616536413306591,0.08648278177123256,0.11100333704115684,1,0.026046276092529297
First_Order,0.840298991848847,0.2909090909090909,0.8115360675012103,0.06,0.6019890725499689,0.2848850263349612,0.9886540600667408,1,0.002809762954711914
Fine_Tuning,0.837820376532419,0.28939393939393937,0.80946123521682,0.2,0.548488138875441,0.27977055184553784,0.02691879866518354,1,0.012820959091186523
BFRT,0.8434055267951623,0.28535353535353536,0.8142333494709177,0.12,0.5602552043709801,0.0892686772871416,0.11604894327030033,1,0.02571558952331543
First_Order,0.839989498894206,0.2898989898989899,0.8104986513590151,0.06,0.6024061138391313,0.29754081469233606,1.0335928809788655,1,0.002831697463989258
Fine_Tuning,0.8372550116953933,0.2803030303030303,0.8011964866173318,0.2,0.5470288401687531,0.2921697799173612,0.028142380422691883,1,0.01279449462890625
BFRT,0.843314024122733,0.28484848484848485,0.8141296078566983,0.12,0.558836019088457,0.09209643337454554,0.12109454949944382,1,0.025738000869750977
