Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.8579874680429659,0.2494949494949495,0.8065218894806003,0.91,0.9094107476312331,0.0,,1,53.63148832321167
SISA,0.8187939514680551,0.3303030303030303,0.8006777785462342,0.32,0.5440180856214123,0.16448545739529866,,1,52.81566643714905
BFRT,0.8603954666570673,0.2383838383838384,0.8043087350439173,0.16,0.473807144339166,0.11476087259277024,0.0,1,0.13013982772827148
First_Order,0.8603954666570673,0.2383838383838384,0.8043087350439173,0.16,0.473807144339166,0.11476087259277024,0.0,1,0.0047607421875
Fine_Tuning,0.8603954666570673,0.2383838383838384,0.8043087350439173,0.16,0.473807144339166,0.11476087259277024,0.0,1,0.027732133865356445
BFRT,0.5389121653088911,0.21717171717171718,0.3069714364755516,0.93,0.7454374438066257,0.25625079550842317,0.05,1,0.04676413536071777
First_Order,0.5155385430517215,0.014141414141414142,0.10962030569195656,0.83,0.5,0.9993715512764167,2.6,1,0.004045724868774414
Fine_Tuning,0.4559541326097863,0.11868686868686869,0.17909260668095994,0.92,0.48363043778961207,0.849415246173053,0.04,1,0.011430740356445312
