Model,Test_AUC,FPR,Test_Accuracy,Mod_Sample_Accuracy,MIA AUC.,JS Div.,Parameter,Run,Run_Time
Retrainer,0.8597118167344242,0.28383838383838383,0.8378864375129677,0.8875,0.9041812193097724,0.0,,1,56.051528453826904
BFRT,0.8611476709331042,0.22727272727272727,0.7918943218756483,0.1375,0.5147382253267861,0.13242517122337377,0.0,1,0.08966755867004395
First_Order,0.8611476709331042,0.22727272727272727,0.7918943218756483,0.1375,0.5147382253267861,0.13242517122337377,0.0,1,0.005219221115112305
Fine_Tuning,0.8611476709331042,0.22727272727272727,0.7918943218756483,0.1375,0.5147382253267861,0.13242517122337377,0.0,1,0.027618885040283203
BFRT,0.8611309846553741,0.22727272727272727,0.7922747077944533,0.1375,0.5144131682688983,0.1327238383493707,8.898776418242493e-05,1,0.039751291275024414
First_Order,0.8610556151761882,0.2196969696969697,0.7863614357839408,0.1375,0.5146833287225949,0.1361821667752351,0.00289210233592881,1,0.004130840301513672
Fine_Tuning,0.8610263579442805,0.22424242424242424,0.7922055467183069,0.1375,0.5132711459990317,0.13967020088954074,4.449388209121246e-05,1,0.02756190299987793
BFRT,0.8611158357650303,0.22727272727272727,0.791617677571063,0.1375,0.5140578532401965,0.13302608217413853,0.00017797552836484987,1,0.03976011276245117
First_Order,0.8608962518495521,0.22171717171717173,0.7904419392765751,0.1375,0.5147976606265994,0.14032285380913082,0.00578420467185762,1,0.0042188167572021484
Fine_Tuning,0.8607688080598097,0.2202020202020202,0.7915830970329898,0.15,0.5114325420153538,0.14810928934025883,8.898776418242492e-05,1,0.027522563934326172
BFRT,0.8611036491576991,0.22828282828282828,0.7918597413375752,0.1375,0.5137232865343384,0.133331268701016,0.0002669632925472748,1,0.039600372314453125
First_Order,0.8606646594386962,0.2287878787878788,0.7979804965765267,0.1375,0.5149454924268622,0.14482175958101492,0.00867630700778643,1,0.004017829895019531
Fine_Tuning,0.8603620284814139,0.24141414141414141,0.8104986513590151,0.1375,0.5095433639947438,0.1576670001275001,0.00013348164627363738,1,0.02760624885559082
BFRT,0.8610848442851561,0.22373737373737373,0.7879521405353067,0.1375,0.5134040649422504,0.13363924204014738,0.00035595105672969974,1,0.039624929428100586
First_Order,0.8603389770449315,0.2196969696969697,0.7902344560481361,0.15,0.5149789923231205,0.14964820472374596,0.01156840934371524,1,0.004033803939819336
Fine_Tuning,0.8597797523831379,0.23939393939393938,0.8082509163842589,0.1375,0.5078973303824608,0.16827108826105197,0.00017797552836484984,1,0.02749013900756836
BFRT,0.8610700422444055,0.23333333333333334,0.7967701777439657,0.1375,0.5130666885676742,0.1339497021091073,0.00044493882091212466,1,0.039554595947265625
First_Order,0.8599149018584388,0.23282828282828283,0.8015077114599903,0.125,0.5152065754893147,0.15476837261550164,0.01446051167964405,1,0.004042387008666992
Fine_Tuning,0.8589367672567986,0.23383838383838385,0.8027526108306245,0.1375,0.5063100836849022,0.17984861466635796,0.0002224694104560623,1,0.02747797966003418
BFRT,0.8610552683265952,0.23333333333333334,0.7969084998962583,0.1375,0.5127414153814234,0.13426293688157231,0.0005339265850945496,1,0.039549827575683594
First_Order,0.8593987240434637,0.2313131313131313,0.8016114530742099,0.125,0.5156139774534891,0.16013160069904758,0.01735261401557286,1,0.004012346267700195
Fine_Tuning,0.8578286203035628,0.22323232323232323,0.7914447748806971,0.15,0.5046986306106924,0.19242192871092542,0.00026696329254727476,1,0.027451038360595703
BFRT,0.8610381508304517,0.21717171717171718,0.7829033819766236,0.1375,0.5124161421951725,0.1345810934588515,0.0006229143492769746,1,0.03961515426635742
First_Order,0.8587046123871427,0.2505050505050505,0.8181063697351131,0.1,0.5162152465592365,0.16567702664432668,0.02024471635150167,1,0.00405430793762207
Fine_Tuning,0.8563518284785638,0.23434343434343435,0.7971159831246974,0.15,0.49679676153260943,0.20593677910365216,0.0003114571746384872,1,0.027506351470947266
BFRT,0.8610169461336956,0.2191919191919192,0.7848744726467943,0.1375,0.5120826561311295,0.13489918692079145,0.0007119021134593995,1,0.03960371017456055
First_Order,0.8578016504041079,0.24343434343434345,0.8090462687599419,0.1,0.5169254443599143,0.17129579762629063,0.02313681868743048,1,0.003988742828369141
Fine_Tuning,0.8545673529413971,0.23484848484848486,0.7924821910228923,0.15,0.498171337921018,0.22033660462812132,0.0003559510567296997,1,0.02744913101196289
BFRT,0.8610025846856717,0.2191919191919192,0.7851856974894529,0.1375,0.5117439829863752,0.13520770794566567,0.0008008898776418244,1,0.039488792419433594
First_Order,0.8566470443540011,0.23383838383838385,0.7981879798049658,0.1125,0.5176280776678885,0.17686860128257362,0.02602892102335929,1,0.004042625427246094
Fine_Tuning,0.8524651912997373,0.251010101010101,0.8010235839269659,0.125,0.4996667300643198,0.235524042148596,0.00040044493882091214,1,0.027451515197753906
